Channel	Source	Source_type	Topic_orig	CCNC_news_topic_level_code	Keywords	Summary	 Article_Date	Title	Link	Full_text
新京报	黄山风景区管理委员会微信公众号	state,local		21.51.21	黄山风景区,管委会,迎客松,虚假信息	黄山风景区管理委员会郑重声明：网传“迎客松是塑料树”“迎客松是假树”均为不实信息。	20201022	黄山风景区：网传“迎客松是塑料树、假树”为不实信息	http://www.bjnews.com.cn/news/2020/10/22/780268.html	新京报快讯 据黄山风景区管理委员会微信公众号10月22日消息，近日，网络上个别自媒体发布不实信息，称“迎客松是塑料树”“迎客松是假树”，少数不明真相网友进行了转发转载。为澄清事实，黄山风景区管理委员会郑重声明：网传“迎客松是塑料树”“迎客松是假树”均为不实信息。众所周知，迎客松是中国人民热情好客的象征，是国家名片之一。黄山风景区保护管理部门一直以来对迎客松实行严格、科学的保护，自1980年12月开始实行迎客松专职护理员（俗称“守松人”）制度，至今已经历任十九任。黄山风景区管理委员会每年邀请国内知名专家为迎客松进行1-2次定期“体检”，迎客松目前长势良好，各类监测指标正常。\n编辑 彭启航\n来源：黄山风景区管理委员会微信公众号\n原标题：关于网传“迎客松为塑料树、假树”等不实信息的澄清声明
新京报	河南卫健委	state,local		38.11.02	河南,境外输入,无症状感染者	河南卫健委消息，2020年10月21日0时至24时，河南省无新增新冠肺炎确诊病例、无新增疑似病例，新增无症状感染者2例（境外输入）	20201022	河南21日新增2例境外输入无症状感染者	http://www.bjnews.com.cn/news/2020/10/22/780160.html	新京报快讯 据河南卫健委消息，2020年10月21日0时至24时，河南省无新增新冠肺炎确诊病例、无新增疑似病例，新增无症状感染者2例（境外输入）。1例确诊病例出院。\n截至10月21日24时，河南省累计报告本地确诊病例1273例，其中死亡病例22例，出院病例1251例。累计报告境外输入确诊病例10例，6例出院，4例正在定点医院接受治疗。\n自1月21日起，河南省已累计追踪到密切接触者40511人，目前，无正在接受医学观察者。\n截至10月21日24时，正在医学观察的无症状感染者45例，均为境外输入。\n编辑 杨利\n来源：河南卫健委
新京报	新京报	state,national		02.21			20201022	江苏47岁女子砸死93岁奶奶被判刑十四年，家属称其有精神病	http://www.bjnews.com.cn/news/2020/10/22/780425.html	新京报讯（记者 刘名洋 实习生 朱恩民）江苏宿迁“孙女砸死93岁奶奶案”被告人周希梅被判处有期徒刑十四年，剥夺政治权利四年。10月22日下午，新京报记者从被告人辩护律师处了解到，被告人家属认为周希梅精神存在问题，希望上诉争取减轻刑罚。\n 法院判决书。中国裁判文书网截图\n公诉机关江苏省宿迁市人民检察院指控，2019年7月1日8时许，47岁的周希梅因家庭生活琐事心生不满，趁其父母外出之际，在家中前屋先后使用木质板凳、铁锤击打其奶奶梁某乙头部，致梁某乙当场死亡。同日10时许，公安民警在梁某乙家房屋后将周希梅控制。\n \n公诉机关认为，周希梅故意非法剥夺他人生命，建议法院判处被告人无期徒刑以上刑罚，剥夺政治权利终身。\n \n庭审中，对于公诉机关的指控，被告人辩护律师表示，对于被告人故意杀人的行为没有异议，但现有证据不足以证明被告人周希梅具有完全刑事责任能力。“被告人有精神疾病，不属于正常人，判处无期徒刑以上刑罚过重。”\n \n2020年10月10日，江苏省宿迁市中级人民法院一审判处被告人有期徒刑十四年，剥夺政治权利四年。\n \n判决书显示，根据徐州市东方人民医院司法鉴定所司法鉴定意见书，证实被鉴定人周希梅患有精神分裂症，案发时精神状态正常，其具有完全刑事责任能力。\n法院判决书。中国裁判文书网截图\n法院认为，被告人犯故意杀人罪的事实清楚，鉴于案件因家庭琐事引发，并且得到亲属谅解，以及被告人有精神病史，较常人辨认和控制能力有所下降，可酌情从轻处罚。\n \n22日下午，被告人周希梅辩护律师向新京报记者表示，被告人家属认为周希梅精神存在问题，且家庭情况特殊，其父身体残疾，经济较困难，希望上诉争取减轻刑罚。\n \n编辑 刘倩\n校对 李立军
新京报	健康江苏官微	state,local		38.11.02		健康江苏官微消息，10月21日0-24时，江苏无新增确诊病例。	20201022	江苏新增境外输入无症状感染者1例	http://www.bjnews.com.cn/news/2020/10/22/780093.html	新京报快讯 据健康江苏官微消息，10月21日0-24时，江苏无新增确诊病例。截至10月21日24时，全省累计报告确诊病例670例(其中境外输入39例)，除5例境外输入确诊病例在定点医院隔离治疗外，其余均已出院。\n当日新增境外输入无症状感染者1例。截至10月21日24时，正在集中隔离和医学管理的无症状感染者25例，均为境外输入。\n目前，全省追踪到确诊病例和无症状感染者密切接触者15952人，已解除医学观察15344人，尚有608人正在接受医学观察。\n编辑 赵天晨\n来源：健康江苏官微
新京报	健康广东	state,local		38.11.02		健康广东消息，10月21日0-24时，全省新增境外输入确诊病例3例，广州报告，2例来自尼日利亚，1例来自伊朗。	20201022	广东21日新增确诊病例3例、无症状感染者15例，均为境外输入	http://www.bjnews.com.cn/news/2020/10/22/780090.html	新京报快讯 据“健康广东”消息，10月21日0-24时，全省新增境外输入确诊病例3例，广州报告，2例来自尼日利亚，1例来自伊朗。新增境外输入无症状感染者15例，广州报告14例，9例来自尼日利亚，其余5例分别来自刚果金、伊朗、埃塞俄比亚、沙特阿拉伯和毛里塔尼亚；深圳报告1例，来自德国。以上均在入境口岸或隔离点发现，入境后即被隔离观察。新增出院4例。\n截至10月21日24时，全省累计报告新冠肺炎确诊病例1895例（境外输入499例）。目前在院39例。\n编辑 贾聪聪\n来源：健康广东
新京报	四川在线	state,local		05.21		10月22日11时03分，在四川省绵阳市北川县发生4.7级地震，震源深度20公里。	20201022	四川应急管理厅：暂无地震导致的人员伤亡、房屋倒塌等情况报告	http://www.bjnews.com.cn/news/2020/10/22/780221.html	据四川在线消息，10月22日11时03分，在四川省绵阳市北川县(经度104.18，纬度31.83)发生4.7级地震，震源深度20公里。22日中午，记者从省应急管理厅获悉，地震发生后，省应急管理厅第一时间视频调度绵阳市、北川县应急局，电话调度绵竹市、汶川县、茂县、理县等周边县(市、区)应急管理部门，要求迅速摸排灾情，到村到组到户，及时报告相关情况。截至目前，暂未收到人员伤亡、房屋倒塌和通讯、电力、道路中断等情况报告。\n10月21日12时04分，绵阳市北川县发生4.6级地震，两次地震震中和影响范围基本重合，21日地震发生后，绵阳市及北川县进行了全面的排查，未发现人员伤亡、房屋倒塌，通讯、电力、道路等暂未受到影响。\n另据四川发布消息，据调查了解，震区震感明显，广元、德阳、成都、资阳、雅安等地有震感，目前暂无人员伤亡和房屋倒塌报告，震区电力、交通、通信等设施正常。当地群众人心稳定，社会秩序正常。\n地震发生后，应急管理部、中国地震局和四川省委、省政府高度重视，就做好此次地震震情灾情调查核实及震情监视等工作做出安排部署。四川省地震局立即进行紧急部署，指派前方现场工作组深入震区调查了解，组织专家进行震情分析会商，要求相关台站进一步强化震情监测。\n经专家综合分析，本次地震与昨日4.6级地震距离约1公里，位于虎牙断裂和汶川-茂县断裂交汇区，2010年以来汶川余震区出现过7组4.5级以上地震成组活动现象，结合区域构造、地球物理观测、余震序列等，认为此次北川4.7级地震仍属于汶川余震区的正常起伏活动。 \n此次震中附近50公里内有30个地震台站，100公里内有129个地震台站，台站平均间距在10公里，监测能力达1.0级，对余震有较好的监控。四川省地震局一直持续监视跟踪和分析研判该区域震情情况。\n震区属汶川地震灾后恢复重建区域，房屋建筑抗震设防烈度为Vlll（8）度，本次地震最大烈度为Ⅵ（6）度，低于设防烈度，本区域多次类似地震均未造成严重破坏。  \n震后6秒，四川省地震局产出了地震预警信息，通过预警终端、手机APP、广播电视向成都、绵阳市区和平武县公众发布了预警信息，初步统计，已有4342个用户接收到预警信息。\n编辑 杨利\n来源：四川在线
新京报	@中国地震台网速报	state,national		05.21	北川县,地震	中国地震台网正式测定：10月22日11时03分在四川绵阳市北川县（北纬31.83度，东经104.18度）发生4.7级地震，震源深度20千米。	20201022	四川绵阳市北川县发生4.7级地震	http://www.bjnews.com.cn/news/2020/10/22/780168.html	新京报快讯 据@中国地震台网速报 消息，中国地震台网正式测定：10月22日11时03分在四川绵阳市北川县（北纬31.83度，东经104.18度）发生4.7级地震，震源深度20千米。\n据中国地震台网正式测定，10月21日12时04分在四川绵阳市北川县（北纬31.84度，东经104.17度）发生4.6级地震，震源深度17千米。\n据中国地震台网速报官方微博消息，今年以来，四川共发生三级以上地震78次，其中3.0到3.9级66次，4.0到4.9级10次，5.0到5.9级2次，6.0级以上0次，最大地震是4月1日在甘孜州石渠县发生的5.6级地震。  \n编辑 赵天晨\n来源：@中国地震台网速报
今日头条	新京报	state,national		21.05		“这些品种都是我亲自参与培育的。”刘宁有些自豪地说，“杂交培育出来的下一代品种，颜色要好看，花瓣也不能太小，好看的新品种被留下，作为母株繁殖，不好看的就会被淘汰。”	20201022	北京市菊花展开幕，北海养菊人讲述菊花20天盛放幕后故事	http://www.bjnews.com.cn/news/2020/10/22/780464.html	新京报快讯（记者 张璐）北京市第四十一届菊花（市花）展今天（10月22日）在北海公园开幕，近500个品种1500株标本菊在阐福寺怒放迎客，其中，北海公园自育品种琼华和太液系列尤为娇艳。\n \n北海公园目前共有800余种、3000余盆名菊，被誉为北京地区的“菊花种植资源库”，也是菊花繁殖展示技艺传承基地。这些名菊如何繁育和养护？记者采访了北海公园标本菊传统养植技法第五代传承人刘宁。\n \n刘宁在花圃中养护菊花。新京报记者 张璐 摄\n3000株菊花，逐一检查捉虫\n \n早在1980年北京市菊花协会成立后，北海公园就开始承办一年一度的菊花（市花）展，至今已经连续举办了四十届，也是北京市民最期待的展览之一。此次展览，来自来自紫竹院公园、北京植物园等20多个协会会员单位的精品菊花汇聚于阐福寺。\n \n阐福寺北侧的花圃中，刘宁正在精心打理菊花。2005年毕业起，她就来到北海公园园艺队菊花班工作，一晃已经15年了。“所有花我都喜欢，但和菊花格外有缘，我出生的11月份，正是北京办菊花展的月份。”\n \n菊花只在金秋盛放，但栽培和养护工作却贯穿四季。春天扦插繁殖、夏季分栽定植……为了菊花在展览的20天内呈现最佳状态，园艺队队员前期要进行大量工作。\n \n每天一大早，刘宁就来到花圃，逐一查看3000多株菊花是否有虫子。“菊花可以食用，虫子也喜欢吃，所以我们要先捉虫子。”她说，蚜虫的口器（嘴）是针形的，像吸管一样吸食菊花的营养。肉虫子的咀嚼式口器像钳子一样，把菊花咬碎，对菊花造成破坏。如果观察到虫子，园艺人需要为菊花打生物制剂农药。\n \n“菊花对水分的要求严格，我师傅就经常提醒我们，水要浇错了的话，菊花得需要好几天才能缓过来。天天大量浇水，它的根儿就泡烂了叶子黄了。相反如果水浇得不够，菊花叶片很小，停止生长。所以每个品种都要不同对待。”\n \n刘宁说，菊花不喜积水，园艺人每天要定时定点为菊花浇水，保证不同品种的菊花“喝饱”不打蔫儿，又得配置疏松土壤，让它们得到良好的排水。\n \n培育北海特色自育品种\n \n标本菊又称独本菊、独头菊，刘宁解释说，标本菊是菊花的最佳代表作，它类似于“独生子女”，全株只开一朵花，花朵大、姿态优美，非常具有观赏性，因此在菊花品种展览中都采用标本菊。“真漂亮！”看着颜色姿态各异的标本菊，观展游客不时发出啧啧赞叹。\n \n“菊花属于纯园艺品种，如果随意种在地里会长出好多小花骨朵。很多老百姓心疼，舍不得剪去花骨朵，所以花都开得不大，看不出来这个品种到底有多美。经过园艺人的管理和干预，我们可以保证每枝杆上只开一朵花，这样养分集中，花才能开得大。”为了保证主花的营养，园艺人需将“旁朵”掐掉。防止使用剪刀留下“伤口”，他们会用手指甲将其余的花蕾轻轻剥落。\n \n随着花朵越长越大，花头也越来越沉，有的花朵耷拉脑袋，花枝相应弯折，园艺人还要将菊花枝绑在竹竿上，起到支撑作用。\n \n名字取自北海公园的琼华岛和太液池，北海公园的自育品种琼华和太液系列菊花颇具特色。\n刘宁说，琼华瑞紫的是深紫色的，这种花色比较少见，花瓣长呈管型，前端带着卷曲的球球，像珠子一样美丽。“它的身材纤细，我们浇水施肥都要相应少一些。”琼华凤舞的花瓣是红色的镶金边的，花瓣张开的样子就像凤凰的羽毛一样，看起来雍容华贵，象征着北海皇家园林的风采。\n \n“这些品种都是我亲自参与培育的。”刘宁有些自豪地说，新品种的培育在于尝试和坚持。“我们慢慢尝试，杂交培育出来的下一代品种，颜色要好看，花瓣也不能太小，好看的新品种被留下，作为母株繁殖，不好看的则会被淘汰。”\n \n除了传承北海公园传统的养殖技术养护菊花，刘宁等年轻一代正在学习和研发新的技术。“比如传统技术属于翻头养殖，现在我们为了提前开花的时间，也正在加入新的技术。”\n \n菊花展开幕，游客为菊花拍照。新京报记者 侯少卿 摄\n养菊花也是力气活儿\n \n每天和花打交道，这似乎是赏心悦目、陶冶情操的工作，实际上，养护菊花并不容易。\n \n夏天是菊花生殖生长的季节，园艺人每天都要为花浇水打药、填土施肥。最初来北海养菊花，刘宁夏天穿着短裤短袖在花圃工作，不到一个月，她就因为强烈紫外线过敏长了一胳膊小痱子。如今，再热再闷的天，她也和前辈们一样，穿着长袖长裤、戴着大草帽。\n \n对于女园丁来说，“上盆”也是件费力气的事儿。传统养菊花都用瓦盆来养，因为瓦盆透气性好，有力与菊花的生长。上盆时，园丁需要把花种在瓦盆里，再一盆一盆端走。“由于那几天，我们总低着头蹲在那儿，或者提桶浇水，整个颈椎和肩膀的肌肉特别疼。”\n \n忙乎了大半年，园丁们的辛勤成果将在秋天的菊展得以展现。今天一大早，闻讯而来的游客和摄影爱好者已经在阐福寺门口排起长队，争先一睹菊花风采。自2019年起，在首都绿化办公室的支持下，北海公园与东四街道联合开展菊花非遗项目进社区和园艺驿站活动。“中国菊艺新星”刘宁也走进社区，把她的养护经验讲给花友会的叔叔阿姨。有不少老人从家里搬两个大泥盆过来，一手抱一个。听完了课，现场让她为菊花诊病。\n \n“看到大家这么喜欢菊花，我心里挺高兴的。”刘宁说，近些年受西方文化的影响，有人觉得菊花是丧葬用品。“其实，菊花在咱中国的传统寓意就是吉祥长寿的意思。我想把菊花养好，也传播好菊花文化，让越来越多的人喜欢菊花。”\n \n新京报记者 张璐 摄影记者  侯少卿\n编辑 陈思
今日头条	北京市气象局网站	state,local		22	北京,大风,预警	北京市发布大风蓝色预警。	20201022	阵风可达6、7级！北京发布大风蓝色预警	http://www.bjnews.com.cn/news/2020/10/22/780117.html	新京报快讯 据北京市气象局网站10月22日消息，北京市发布大风蓝色预警。\n预计，当前至22日18时，北京市有4级左右偏北风，阵风可达6、7级，请注意防范。\n编辑 赵天晨\n来源：北京市气象局网站
今日头条	北京市卫健委	state,local		38.11.02	新冠肺炎,确诊病例	北京市卫健委消息，10月21日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外输入确诊病例、疑似病例和无症状感染者。	20201022	北京21日无新增报告新冠肺炎确诊病例	http://www.bjnews.com.cn/news/2020/10/22/780085.html	新京报快讯 据北京市卫健委消息，10月21日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外输入确诊病例、疑似病例和无症状感染者。\n烹调食用冷冻冰鲜食品时，加工烹调海鲜应做到烧熟煮透。烧熟煮透的一般原则是开锅后再保持10-15分钟；尽量避免生吃、半生吃、酒泡、醋泡或盐腌后直接食用海鲜；两人及以上共同就餐时，要记得使用公筷、公勺，减少交叉感染，降低传染性疾病和食源性疾病的发生；未食用完已经烹调熟的海鲜，请放置冰箱冷藏室保存，尽早食用，再次食用前一定要充分加热，食用后一旦出现发热、腹泻症状，要及时到发热门诊就医，并主动告知食用时间、食品种类和食材来源等信息，以助诊治。\n编辑 赵天晨\n来源：北京市卫健委
